"Water Control Zone","River","Station","Dates","Sample No","5-Day Biochemical Oxygen Demand (mg/L)","Aluminium (μg/L)","Ammonia-Nitrogen (mg/L)","Anionic Surfactants (as Manoxol OT) (mg/L)","Antimony (μg/L)","Arsenic (μg/L)","Barium (μg/L)","Beryllium (μg/L)","Boron (μg/L)","Cadmium (μg/L)","Chemical Oxygen Demand (mg/L)","Chloride (mg/L)","Chlorophyll-a (μg/L)","Chromium (μg/L)","Conductivity (μS/cm)","Copper (μg/L)","Cyanide (mg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (counts/100mL)","Faecal Coliforms (counts/100mL)","Flow (m³/s)","Fluoride (mg/L)","Free Hydrogen Sulphide (mg/L)","Iron (μg/L)","Lead (μg/L)","Manganese (μg/L)","Mercury (μg/L)","Molybdenum (μg/L)","Nickel (μg/L)","Nitrate-Nitrogen (mg/L)","Nitrite-Nitrogen (mg/L)","Oil and Grease (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeopigment (μg/L)","Salinity (ppt)","Silica (as SiO₂) (mg/L)","Silver (μg/L)","Sulphide (mg/L)","Suspended solids (mg/L)","Thallium (μg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Organic Carbon (mg/L)","Total Phosphorus (mg/L)","Total Solids (mg/L)","Total Volatile Solids (mg/L)","Turbidity (NTU)","Vanadium (μg/L)","Water Temperature (°C)","Zinc (μg/L)"
"Western Buffer","Pai Min Kok Stream","AN1","1989-01-19","1","223","190","35","1.1","","<1","","","280","0.3","140","","","1","558","15","<0.01","43","4.1","3000000","3000000","null","0.4","<0","410","5","140","<1","","<10","0.01","0.005","6","7.8","7.7","","","20","","0.05","79","","54","32","10","410","190","130","","17.6","60"
"Western Buffer","Pai Min Kok Stream","AN1","1989-02-02","1","165.8","270","32","0.16","","<1","","","20","0.1","78","","","2","500","11","<0","22","2.4","","","null","0.4","<0","760","10","200","<1","","<10","0.004","0.005","4.5","4.8","7","","","20","","<0.01","49","","44","15","6.4","290","110","44","","11","70"
"Western Buffer","Pai Min Kok Stream","AN1","1989-03-17","1","223","930","87","0.3","","<1","","","570","0.4","66","","","2","970","25","<0.01","16","1.6","600000","600000","null","0.4","<0","2400","22","470","<1","","<10","<0.002","0.17","3","11","6.6","","","23","","0.2","170","","100","4","13","710","400","110","","18","240"
"Western Buffer","Pai Min Kok Stream","AN1","1989-04-07","1","59.4","220","47","0.26","","<1","","","970","0.2","61","44","","1","602","7","<0.01","52","4.7","1000000","1000000","null","0.4","<0","510","8","170","<1","","<10","0.26","0.59","0.5","3.4","7.4","","","20","","<0.01","8","","55","21","4.2","310","110","21","","20.3","90"
"Western Buffer","Pai Min Kok Stream","AN1","1989-05-19","1","243.8","100","29","0.35","","<1","","","<20","0.2","150","","","<1","470","10","<0.01","47","4","4100000","4400000","null","0.4","<0","250","5","80","<1","","<10","0.019","0.01","<0.5","4","7.1","","","7.1","","0.04","110","","37","75","8.4","420","270","190","","24","70"
"Western Buffer","Pai Min Kok Stream","AN1","1989-06-27","1","38.3","300","4.2","0","","<1","","","690","<0.1","22","18","","1","191","4","<0.01","79","6.4","230000","240000","null","0","<0","230","9","60","<1","","<10","2.8","0.33","<0.5","0.6","7.4","","","17","","<0.01","6","","5.5","<1","0.85","220","130","9","","25.7","10"
"Western Buffer","Pai Min Kok Stream","AN1","1989-07-21","1","5.1","60","0.32","<0.05","","<1","","","270","<0.1","4","","","1","152","4","<0.01","72","5.4","40000","360000","null","0.4","<0","230","4","50","<1","","<10","3","0.13","1.5","0.36","7.4","","","24","","<0.01","4","","0.82","<1","0.45","170","56","4.4","","28.8","30"
"Western Buffer","Pai Min Kok Stream","AN1","1989-08-11","1","3","220","0.7","0.08","","<1","","","390","0.2","14","20","","1","194","8","<0.01","77","6.1","38000","72000","null","0.3","<0","320","6","80","<1","","<10","4.3","0.19","<0.5","0.4","7.5","","","21","","<0.01","2.5","","1.2","2","0.49","190","86","2.7","","26.9","40"
"Western Buffer","Pai Min Kok Stream","AN1","1989-09-21","1","4","420","0.065","0.11","","<1","","","2600","0.1","9","","","<1","150","2","<0.01","65","5.3","200000","290000","null","0.4","0","180","6","40","<1","","2","2.9","0.32","<0.5","0.14","7.2","","","15","","<0.01","1","","1.7","<1","0.42","170","130","5.1","","25.3","60"
"Western Buffer","Pai Min Kok Stream","AN1","1989-10-17","1","4.3","80","0.66","0.09","","<1","","","<50","<0.1","21","21","","4","154","5","<0.01","77","6.7","24000","26000","null","0.3","<0.01","200","5","30","<1","","3","4.4","0.64","<0.5","0.02","6.9","","","20","","<0.02","<0.5","","1.2","3","0.68","160","60","3.3","","21.4","40"
"Western Buffer","Pai Min Kok Stream","AN1","1989-11-20","1","3.6","80","1.2","0.25","","<1","","","<50","0.2","4","","","2","170","7","<0.01","85","8","110000","210000","null","0.3","<0.01","330","9","40","<1","","<1","4.7","0.004","<0.5","0.69","7.2","","","19","","<0.02","6.5","","2.5","3","0.86","150","90","4.5","","18.2","60"
"Western Buffer","Pai Min Kok Stream","AN1","1989-12-21","1","1.1","<50","0.59","0.15","","<1","","","620","<0.1","7","","","<1","204","1","<0.01","75","7","3500","3500","null","0.3","<0.01","140","4","<10","<1","","19","4.6","0.35","<0.5","1.1","7.8","","","19","","<0.02","1","","2","5","1.2","160","48","5.4","","18","30"
